,Where they Clicked,Whey they Clicked,Help Source,Successfully Helped,Mentor Requested,Mentor Responded,Mentor
0,Customers,Registration Help,Help Link,1,0,0,Not Requested
1,Customers,other,Help Link,0,0,0,Not Requested
2,Analytics,Adding Promo Code,Help Link,1,0,0,Not Requested
3,Finances,other,Community Hub,1,0,0,Not Requested
4,Products,Accessing Data,Community Hub,0,1,1,Chantal
5,Orders,Registration Help,Help Link,1,1,1,Natanael
6,Home,Accessing Data,Mentor,0,1,0,Not Requested
7,Customers,other,Help Link,1,0,0,Not Requested
8,Orders,Accessing Data,Help Link,1,1,0,Not Requested
9,Orders,Accessing Data,Community Hub,1,1,0,Not Requested
10,Apps,other,Help Link,1,0,0,Not Requested
11,Home,Accessing Data,Help Link,1,1,1,Maya
12,Products,Registration Help,Help Link,0,1,0,Not Requested
13,Analytics,other,Help Link,1,0,0,Not Requested
14,Products,Adding Promo Code,Mentor,1,0,0,Not Requested
15,Analytics,Registration Help,Community Hub,1,1,0,Not Requested
16,Home,Accessing Data,Community Hub,1,1,1,Ben
17,Orders,Registration Help,Help Link,0,1,0,Not Requested
18,Finances,Registration Help,Mentor,1,0,0,Not Requested
19,Analytics,App Functionality,Help Link,1,0,0,Not Requested
20,Analytics,Registration Help,Mentor,1,1,1,Natanael
21,Apps,Accessing Data,Community Hub,1,0,0,Not Requested
22,Customers,other,Community Hub,0,1,0,Not Requested
23,Customers,Registration Help,Help Link,1,0,0,Not Requested
24,Customers,other,Community Hub,1,0,0,Not Requested
25,Apps,Adding Promo Code,Help Link,0,1,1,Ben
26,Analytics,Registration Help,Community Hub,1,0,0,Not Requested
27,Marketing,Registration Help,Mentor,1,1,1,Natanael
28,Analytics,Registration Help,Community Hub,0,0,0,Not Requested
29,Apps,Registration Help,Help Link,0,1,0,Not Requested
30,Customers,Adding Promo Code,Community Hub,1,1,0,Not Requested
31,Apps,Accessing Data,Help Link,1,1,0,Not Requested
32,Apps,other,Help Link,0,0,0,Not Requested
33,Orders,App Functionality,Mentor,1,1,0,Not Requested
34,Finances,Accessing Data,Help Link,1,0,0,Not Requested
35,Orders,Registration Help,Community Hub,1,0,0,Not Requested
36,Analytics,Adding Promo Code,Help Link,1,0,0,Not Requested
37,Home,App Functionality,Help Link,1,0,0,Not Requested
38,Orders,other,Community Hub,1,1,1,Ben
39,Orders,App Functionality,Mentor,1,0,0,Not Requested
40,Orders,Accessing Data,Mentor,0,1,0,Not Requested
41,Analytics,App Functionality,Mentor,0,1,0,Not Requested
42,Orders,Accessing Data,Mentor,1,1,0,Not Requested
43,Apps,Registration Help,Help Link,1,0,0,Not Requested
44,Products,Accessing Data,Mentor,0,1,0,Not Requested
